From,To,Fare
Abdullahpur,Abul Hotel,31
Abdullahpur,Agargaon,50
Abdullahpur,Airport,25
Abdullahpur,Asad Avenue,55
Abdullahpur,Asadgate,50
Abdullahpur,Asholia,22
Abdullahpur,Asholia (Fantasy Kingdom),16
Abdullahpur,Azimpur,53
Abdullahpur,Babu Bazar Bridge,58
Abdullahpur,Badda,29
Abdullahpur,Baipail,22
Abdullahpur,Banani,29
Abdullahpur,Bangabandhu Avenue,32
Abdullahpur,Basabo,36
Abdullahpur,Bijoy Nagar,15
Abdullahpur,Bishwaroad,20
Abdullahpur,Board Bazar,19
Abdullahpur,Bochila,66
Abdullahpur,Bosila,66
Abdullahpur,Bosila Bridge,58
Abdullahpur,Dhaor,12
Abdullahpur,Dhaor Bridge,10
Abdullahpur,Dheleshur,65
Abdullahpur,Dhour,22
Abdullahpur,Diayabari Moor,36
Abdullahpur,Fantasy Kingdom,31
Abdullahpur,Farmgate,43
Abdullahpur,Fulbaria,58
Abdullahpur,Gabtoli,47
Abdullahpur,Gabtoli Bridge Para,40
Abdullahpur,Gazipur,14
Abdullahpur,Ghatachar,62
Abdullahpur,Gulistan (Hanif Flyover),20
Abdullahpur,House Building,10
Abdullahpur,Housing Building,10
Abdullahpur,ISBI Chattar,25
Abdullahpur,Japan Garden City,59
Abdullahpur,Jasimuddin,10
Abdullahpur,Jatrabari,49
Abdullahpur,Jirab,10
Abdullahpur,Kachpur,46
Abdullahpur,Kachpur Bridge,81
Abdullahpur,Kakoli,26
Abdullahpur,Kakrail,42
Abdullahpur,Kalabagan,49
Abdullahpur,Kallshi,30
Abdullahpur,Kallshi Mor,26
Abdullahpur,Kalyanpur,44
Abdullahpur,Kamar Para,10
Abdullahpur,Kamarpara,12
Abdullahpur,Keraniganj (New Jail),95
Abdullahpur,Khilkhet,16
Abdullahpur,Kuril,16
Abdullahpur,Kuril Bishwaroad,11
Abdullahpur,Kurmitola General Hospital,20
Abdullahpur,Madanpur,79
Abdullahpur,Majar Road,36
Abdullahpur,Malibagh,47
Abdullahpur,Manik Mia Avenue,43
Abdullahpur,Maniknagar,40
Abdullahpur,Meradiya Bazar,33
Abdullahpur,Middle Badda,24
Abdullahpur,Mirpur-1,41
Abdullahpur,Mirpur-10,41
Abdullahpur,Mirpur-11,39
Abdullahpur,Mirpur-12,22
Abdullahpur,Mirpur-2,35
Abdullahpur,Moghbazar,41
Abdullahpur,Mohakhali,32
Abdullahpur,Mohammadpur Shia Mosque,51
Abdullahpur,Mohammadpur Stand,54
Abdullahpur,Motijheel,61
Abdullahpur,Mouchak,40
Abdullahpur,Nabinagar,88
Abdullahpur,Nabinagar (Savar),40
Abdullahpur,Nandan Park,48
Abdullahpur,New Market,49
Abdullahpur,Nilkhet,53
Abdullahpur,Notre Dame College,61
Abdullahpur,Notun Bazar,20
Abdullahpur,Original Dash,25
Abdullahpur,Original-10,37
Abdullahpur,Palton,50
Abdullahpur,Pragati Soroni,41
Abdullahpur,Press Club,44
Abdullahpur,Proshika Moor,38
Abdullahpur,Purabi,36
Abdullahpur,Rajmoni,44
Abdullahpur,Rampura,25
Abdullahpur,Rampura Bridge,38
Abdullahpur,Russell Square,46
Abdullahpur,Sadarghat Victoria,42
Abdullahpur,Sainboard,58
Abdullahpur,Satorasta,10
Abdullahpur,Savar,78
Abdullahpur,Sayedabad,45
Abdullahpur,Shahbag,43
Abdullahpur,Shaoda Bazar,19
Abdullahpur,Shewra,19
Abdullahpur,Shewra Bazar,26
Abdullahpur,Shewra Para,46
Abdullahpur,Shigomela,41
Abdullahpur,Shyamoli,48
Abdullahpur,Shyamoli Ring Road,55
Abdullahpur,Staff Quarter,39
Abdullahpur,Staffroad,20
Abdullahpur,Sultana Kamal Bridge,40
Abdullahpur,TV Centre,29
Abdullahpur,Tarabo Bishwa Road,49
Abdullahpur,Technical,42
Abdullahpur,Tongi (Bostuhara),12
Abdullahpur,Udvash Crossing,40
Abdullahpur,Uttara,10
Abdullahpur,Uttara Diayabari,10
Abdullahpur,Zillur Rahman Flyover,21
Abdullahpur (Jilkhana),Airport,55
Abdullahpur (Jilkhana),Babu Bazar,22
Abdullahpur (Jilkhana),Badda,42
Abdullahpur (Jilkhana),Bhawar Viti (South Keraniganj),10
Abdullahpur (Jilkhana),Chunakutia Bazar,12
Abdullahpur (Jilkhana),Diayabari,68
Abdullahpur (Jilkhana),Gulistan (Fulbaria),25
Abdullahpur (Jilkhana),Housing Building,55
Abdullahpur (Jilkhana),Kadamtoli,14
Abdullahpur (Jilkhana),Kakrail,28
Abdullahpur (Jilkhana),Khilkhet,53
Abdullahpur (Jilkhana),Kuril Bishwaroad,52
Abdullahpur (Jilkhana),Malibagh,32
Abdullahpur (Jilkhana),Mouchak (Flyover),32
Abdullahpur (Jilkhana),Notun Bazar,45
Abdullahpur (Jilkhana),Palton,26
Abdullahpur (Jilkhana),Rajendrapur Bazar,10
Abdullahpur (Jilkhana),Rampura,35
Abul Hotel,Abdullahpur,31
Abul Hotel,Airport,22
Abul Hotel,Azimpur,26
Abul Hotel,Babu Bazar Bridge,19
Abul Hotel,Dhaor Bridge,46
Abul Hotel,Fulbaria,11
Abul Hotel,Kuril Bishwaroad,16
Abul Hotel,Malibagh,10
Abul Hotel,Middle Badda,10
Abul Hotel,Mouchak,10
Abul Hotel,Notun Bazar,10
Abul Hotel,Palton,10
Abul Hotel,Rajmoni,10
Abul Hotel,TV Centre,10
Agargaon,Abdullahpur,50
Agargaon,Airport,41
Agargaon,Amin Bazar,20
Agargaon,Asholia,65
Agargaon,Azimpur,22
Agargaon,Banani,14
Agargaon,Banglamotor,10
Agargaon,Bekali Hotel,14
Agargaon,Bonshree (Meradiya),20
Agargaon,Bonshri,35
Agargaon,Chiriyakhana,17
Agargaon,College Gate,10
Agargaon,Dakeswari Temple,20
Agargaon,Dhanmondi,10
Agargaon,Dhour,64
Agargaon,Duaripara,19
Agargaon,Farmgate,10
Agargaon,Gabtoli,10
Agargaon,Gulshan-1,18
Agargaon,ISBI Chattar,25
Agargaon,ISBI Moor,25
Agargaon,Ikuria,35
Agargaon,Japan Garden City,10
Agargaon,Jatrabari,29
Agargaon,Kakoli,14
Agargaon,Kallshi,20
Agargaon,Kalyanpur,10
Agargaon,Kamlapur,16
Agargaon,Kazipara,10
Agargaon,Manikdi (ISBI Moor),19
Agargaon,Manikmia Avenue,13
Agargaon,Mirpur 11.5,14
Agargaon,Mirpur-10,20
Agargaon,Mirpur-11,12
Agargaon,Mirpur-12,33
Agargaon,Mirpur-2,11
Agargaon,Moghbazar,11
Agargaon,Mohakhali,10
Agargaon,Mohammadpur Shia Mosque,10
Agargaon,Motijheel,18
Agargaon,Mouchak,13
Agargaon,Nabinagar (Savar),88
Agargaon,New Market,11
Agargaon,Postogola Bridge,31
Agargaon,Rampura,26
Agargaon,Rampura Bridge,18
Agargaon,Savar,52
Agargaon,Sayedabad,26
Agargaon,Shewra Para,10
Agargaon,Shigomela,10
Agargaon,Shismela,10
Agargaon,Shyamoli,10
Agargaon,Shyamoli Ring Road,10
Agargaon,Sukrabad,14
Agargaon,Uttara,34
Agla Bazar,Bagmara,10
Agla Bazar,Bajonpar,10
Agla Bazar,Bakhyakhali,52
Agla Bazar,Baupra,33
Agla Bazar,Fulbaria,61
Agla Bazar,Jinjira,55
Agla Bazar,Kharattar,14
Agla Bazar,Khasia Khali Beribadh,71
Agla Bazar,Kopakhola Bazar,45
Agla Bazar,Mashir Kanda,19
Agla Bazar,Nayabazar,57
Agla Bazar,Nobabganj,13
Agla Bazar,Ramer Kanda,34
Agla Bazar,Saydpur,28
Agla Bazar,Suroganj,10
Agla Bazar,Tikarpur,10
Airport,Abdullahpur,25
Airport,Abdullahpur (Jilkhana),55
Airport,Abul Hotel,22
Airport,Agargaon,41
Airport,Asad Avenue,45
Airport,Asadgate,38
Airport,Asholia,32
Airport,Asholia (Fantasy Kingdom),22
Airport,Ati Bazar,45
Airport,Azimpur,46
Airport,Babu Bazar,32
Airport,Babu Bazar Bridge,46
Airport,Badda,28
Airport,Bagher Bazar,34
Airport,Baipail,32
Airport,Banani,22
Airport,Bangabandhu Avenue,26
Airport,Barmi,60
Airport,Basabo,30
Airport,Bhawar Viti (South Keraniganj),60
Airport,Bijoy Nagar,14
Airport,Bishwaroad,10
Airport,Board Bazar,29
Airport,Bochila,49
Airport,Bosila,49
Airport,Chandra,82
Airport,Cherag Ali,17
Airport,Chowrasta,37
Airport,Chunakutia Bazar,41
Airport,Dayabari Chowrasta,11
Airport,Dhaor,21
Airport,Dhaor Bridge,10
Airport,Dhour,32
Airport,Diayabari,10
Airport,Fantasy Kingdom,46
Airport,Farmgate,30
Airport,Fulbaria,45
Airport,Gabtoli,39
Airport,Gabtoli Bridge Para,35
Airport,Gazipur,64
Airport,Gazipur Chowrasta,28
Airport,Gulistan (Fulbaria),28
Airport,Gulistan (Hanif Flyover),18
Airport,Hotapara,22
Airport,House Building,10
Airport,Housing Building,10
Airport,ISBI Chattar,16
Airport,Jagannath University,49
Airport,Japan Garden City,50
Airport,Jasimuddin,10
Airport,Jatrabari,69
Airport,Jirab,14
Airport,Kachpur,69
Airport,Kachpur Bridge,72
Airport,Kadamtoli,37
Airport,Kakoli,18
Airport,Kakrail,39
Airport,Kalabagan,40
Airport,Kallshi,22
Airport,Kallshi Mor,22
Airport,Kalyanpur,36
Airport,Kamar Para,14
Airport,Kamarpara,28
Airport,Kapasia,51
Airport,Keraniganj (New Jail),89
Airport,Khamarbari,32
Airport,Khilgaon Flyover,40
Airport,Khilkhet,10
Airport,Konabari,56
Airport,Kuril,16
Airport,Kuril Bishwaroad,10
Airport,Kuril Flyover,10
Airport,Kurmitola General Hospital,13
Airport,Madanpur,62
Airport,Malibagh,35
Airport,Manik Mia Avenue,32
Airport,Maniknagar,35
Airport,Maona Chowrasta,40
Airport,Maskat Plaza,10
Airport,Meradiya Bazar,27
Airport,Middle Badda,12
Airport,Mirpur-1,32
Airport,Mirpur-10,32
Airport,Mirpur-11,26
Airport,Mirpur-12,16
Airport,Mirpur-2,29
Airport,Moghbazar,34
Airport,Mohakhali,23
Airport,Mohammadpur,37
Airport,Mohammadpur Shia Mosque,42
Airport,Motijheel,39
Airport,Mouchak,27
Airport,Mouchak (Flyover),19
Airport,Nabinagar,80
Airport,Nabinagar (Savar),60
Airport,Nabisco,10
Airport,Nandan Park,67
Airport,New Market,44
Airport,Nilkhet,43
Airport,Notre Dame College,46
Airport,Notun Bazar,18
Airport,Original Dash,18
Airport,Original-10,29
Airport,Palton,41
Airport,Postogola,65
Airport,Pragati Soroni,17
Airport,Press Club,28
Airport,Proshika Moor,29
Airport,Purabi,22
Airport,Rajabari,29
Airport,Rajendrapur,16
Airport,Rajendrapur Bazar,53
Airport,Rajendrapur Chowrasta,16
Airport,Rajmoni,32
Airport,Rampura,30
Airport,Rampura Bridge,35
Airport,Russell Square,37
Airport,Sadarghat Victoria,36
Airport,Sainboard,56
Airport,Satorasta,29
Airport,Savar,70
Airport,Sayedabad,61
Airport,Shahbag,29
Airport,Shaoda Bazar,10
Airport,Shewra,13
Airport,Shewra Bazar,10
Airport,Shewra Para,37
Airport,Shigomela,37
Airport,Shyamoli,40
Airport,Shyamoli Ring Road,46
Airport,Sifipur,68
Airport,Sreepur,48
Airport,Staff Quarter,41
Airport,Staffroad,14
Airport,Sultana Kamal Bridge,39
Airport,TV Centre,20
Airport,Tarabo Bishwa Road,49
Airport,Technical,33
Airport,Tingi,17
Airport,Titipadar,44
Airport,Tongi,20
Airport,Tongi Bazar,10
Airport,Tongi Bostuhara,21
Airport,Udvash Crossing,30
Airport,Uttara,10
Airport,Zillur Rahman Flyover,13
Amin Bazar,Agargaon,20
Amin Bazar,Bonshree (Meradiya),36
Amin Bazar,Gabtoli,10
Amin Bazar,Gulshan-1,34
Amin Bazar,Kalyanpur,10
Amin Bazar,Mohakhali,29
Amin Bazar,Rampura Bridge,34
Amin Bazar,Savar,29
Amin Bazar,Shyamoli,10
Amuliya Staff Quarter,Bonshree,20
Amuliya Staff Quarter,Gabtoli,72
Amuliya Staff Quarter,Gulshan-1,35
Amuliya Staff Quarter,Mirpur-1,68
Amuliya Staff Quarter,Mirpur-10,64
Amuliya Staff Quarter,Mohakhali,61
Amuliya Staff Quarter,Savar,105
Ansarcamp,Asadgate,11
Ansarcamp,Bangladesh Bank,30
Ansarcamp,Buet,21
Ansarcamp,Chidriyakhana,10
Ansarcamp,College Gate,10
Ansarcamp,Darussalam,10
Ansarcamp,Duaripara,11
Ansarcamp,Farmgate,16
Ansarcamp,Golapshah Mazar (Fulbaria),30
Ansarcamp,Gulistan,27
Ansarcamp,Gulistan Moor,28
Ansarcamp,Ittifaq,38
Ansarcamp,Jatrabari,85
Ansarcamp,Kalabagan,22
Ansarcamp,Kalyanpur,10
Ansarcamp,Kataban,20
Ansarcamp,Kawranbazar,17
Ansarcamp,Keraniganj,36
Ansarcamp,Mirpur (Chiriyakhana),10
Ansarcamp,Mirpur Thana,10
Ansarcamp,Mirpur-1,10
Ansarcamp,Nayabazar (2nd Buriganga Bridge),32
Ansarcamp,Press Club,25
Ansarcamp,Proshika,10
Ansarcamp,Sayedabad,42
Ansarcamp,Science Lab,19
Ansarcamp,Shahbag,22
Ansarcamp,Shyamoli,10
Ansarcamp,Stadium,30
Ansarcamp,Sukrabad,13
Ansarcamp,Technical,10
Aramabag,Dainik Bangla,10
Aramabag,Farmgate,15
Aramabag,Kamlapur,10
Aramabag,Kazipara,30
Aramabag,Mirpur Rupnagar,42
Aramabag,Mirpur-10,33
Aramabag,Mirpur-11,36
Aramabag,Mirpur-12,39
Aramabag,Palton,10
Aramabag,Sayedabad,10
Aramabag,Shapla Chattar,10
Aramabag,Shewra Para,29
Asad Avenue,Abdullahpur,55
Asad Avenue,Airport,45
Asad Avenue,Bochila,10
Asad Avenue,Bosila,10
Asad Avenue,Dhour,92
Asad Avenue,Jasimuddin,45
Asad Avenue,Kallshi,29
Asad Avenue,Kalyanpur,10
Asad Avenue,Kamarpara,64
Asad Avenue,Mirpur-1,13
Asad Avenue,Mirpur-10,17
Asad Avenue,Mirpur-11,20
Asad Avenue,Mirpur-2,19
Asad Avenue,Purabi,22
Asad Avenue,Shewra Bazar,40
Asad Avenue,Shyamoli,10
Asad Avenue,Technical,10
Asad Avenue,Uttara,43
Asad Gate,Banglamotor,10
Asad Gate,Bochila,12
Asad Gate,Demra Bridge,60
Asad Gate,Demra Staff Quarter,56
Asad Gate,Farmgate,10
Asad Gate,Gabtoli,10
Asad Gate,Kakrail,24
Asad Gate,Meradiya (New Road),46
Asad Gate,Meradiya Bazar,29
Asad Gate,Moghbazar,12
Asad Gate,Mohammadpur,10
Asad Gate,Mouchak,29
Asad Gate,Nabinagar,57
Asad Gate,Rampura,22
Asad Gate,Rampura (Bonshree),37
Asad Gate,Savar,30
Asad Gate,Science Lab,15
Asad Gate,Shahbagh,16
Asadgate,Abdullahpur,50
Asadgate,Airport,38
Asadgate,Ansarcamp,11
Asadgate,Azimpur,20
Asadgate,Babu Bazar Bridge,37
Asadgate,Bandura,116
Asadgate,Bangla College,10
Asadgate,Bangladesh Bank,24
Asadgate,Banglamotor,11
Asadgate,Basabo,28
Asadgate,Bashundra,26
Asadgate,Beribadh,122
Asadgate,Bezgaon Choirasta,78
Asadgate,Bochila,10
Asadgate,Bosila,13
Asadgate,Bosila Bridge,10
Asadgate,Bosila Sinengi Stand,11
Asadgate,Buet,11
Asadgate,Chankharpul,26
Asadgate,Chidriyakhana,18
Asadgate,Chiriyakhana,16
Asadgate,Chun Kutia,28
Asadgate,College Gate,10
Asadgate,Darussalam,10
Asadgate,Dayaganj Road,26
Asadgate,Demra Staff Quarter,22
Asadgate,Dhamrai,80
Asadgate,Dhaor,42
Asadgate,Dhaor Moor,62
Asadgate,Dhour,60
Asadgate,Diayabari (Beribadh),19
Asadgate,Diayabari Moor,18
Asadgate,Duaripara,22
Asadgate,Epijed,86
Asadgate,Fakirapool,22
Asadgate,Farmgate,10
Asadgate,Fulbaria,26
Asadgate,Gabtoli,23
Asadgate,Ghatachar,18
Asadgate,Golapshah Majar,29
Asadgate,Gulistan,26
Asadgate,Gulshan-1,16
Asadgate,Gwashpur,16
Asadgate,Hemayetpur,40
Asadgate,High Court,18
Asadgate,Housing Building,52
Asadgate,Ittifaq,22
Asadgate,Jatrabari,46
Asadgate,Jirab,56
Asadgate,Kadamtoli,42
Asadgate,Kajla,13
Asadgate,Kakrail,16
Asadgate,Kalabagan,10
Asadgate,Kallshi,25
Asadgate,Kalyanpur,10
Asadgate,Kamaranjirchar (Beribadh),26
Asadgate,Kamarpara,46
Asadgate,Kamlapur,80
Asadgate,Kashem Pur,85
Asadgate,Kawran Bazar,10
Asadgate,Kawranbazar,10
Asadgate,Keraniganj (Notun Jela Khana),40
Asadgate,Khaiysyakhali Beribadh,119
Asadgate,Khilgaon Flyover,10
Asadgate,Khilgaon Railgate,27
Asadgate,Khilgaon Taltola,36
Asadgate,Khilkhet,30
Asadgate,Komarganaj,110
Asadgate,Konaakhola,42
Asadgate,Konabari,92
Asadgate,Konapara,18
Asadgate,Kuril Bishwaroad,29
Asadgate,Kurmitola General Hospital,36
Asadgate,Majar Road,16
Asadgate,Maktsa Bhaban,10
Asadgate,Manik Mia,10
Asadgate,Manikganj,132
Asadgate,Maoyghat,111
Asadgate,Matsabhaban,16
Asadgate,Middle Badda,22
Asadgate,Mirpur Majar Road,16
Asadgate,Mirpur Thana,16
Asadgate,Mirpur-1,15
Asadgate,Mirpur-10,19
Asadgate,Mirpur-12,29
Asadgate,Mirpur-14,22
Asadgate,Moghbazar,11
Asadgate,Mohakhali,11
Asadgate,Mohammadpur,10
Asadgate,Mohammadpur (Bosila Road),10
Asadgate,Mohammadpur (Japan Garden City),11
Asadgate,Mohammadpur Bus Stand,10
Asadgate,Mohammadpur Stand,10
Asadgate,Mohammadpur Town Hall,10
Asadgate,Motijheel,30
Asadgate,Motijheel (Shapla Chattar),21
Asadgate,Motijhil (Notre Dame College),10
Asadgate,Motijhil (Tiratail),10
Asadgate,Mugda,10
Asadgate,Muktivaban,17
Asadgate,Nabinagar,76
Asadgate,Nandan Park,100
Asadgate,Narsha,28
Asadgate,Narsimhpur,72
Asadgate,Naya Bazar,34
Asadgate,New Airport,36
Asadgate,New Market,12
Asadgate,Nilkhet,10
Asadgate,Notun Bazar,25
Asadgate,Original Dash,19
Asadgate,Palton,23
Asadgate,Paturiya,206
Asadgate,Postogola,29
Asadgate,Press Club,20
Asadgate,Proshika,19
Asadgate,Rajarbag,10
Asadgate,Rajlakhi,40
Asadgate,Rasel Square,10
Asadgate,Ruhitpur,49
Asadgate,Sadarghat,24
Asadgate,Sainboard,68
Asadgate,Savar,82
Asadgate,Sayedabad,42
Asadgate,Science Lab,11
Asadgate,Shahali Majar,19
Asadgate,Shahbag,22
Asadgate,Shahbagh,15
Asadgate,Shapla Chattar,19
Asadgate,Shia Mosque,10
Asadgate,Shonir Akhra,51
Asadgate,Shukkrabad,10
Asadgate,Shyamoli,11
Asadgate,Stadium,16
Asadgate,Sukrabad,10
Asadgate,Tati Bazar,22
Asadgate,Technical,14
Asadgate,Tikatuli,35
Asadgate,Tikkarpur,54
Asadgate,Titipadar,24
Asadgate,Titumi'r College,13
Asadgate,Town Hall,10
Asadgate,Uttara Diayabari,52
Asadgate,Victoria Park,48
Asadgate,Zippo,29
Asholia,Abdullahpur,22
Asholia,Agargaon,65
Asholia,Airport,32
Asholia,Azimpur,70
Asholia,Banani,60
Asholia,Dhour,10
Asholia,Epijed,25
Asholia,Fantasy Kingdom,16
Asholia,Kalabagan,66
Asholia,Kurmitola General Hospital,38
Asholia,Manik Mia Avenue,61
Asholia,Mirpur-1,46
Asholia,Mirpur-10,45
Asholia,Mirpur-14,60
Asholia,Mohakhali,55
Asholia,Mohammadpur Shia Mosque,70
Asholia,Nabinagar (Savar),16
Asholia,Nandan Park,49
Asholia,Nilkhet,70
Asholia,Russell Square,63
Asholia,Shigomela,65
Asholia,Shyamoli,66
Asholia,Udvash Crossing,59
Asholia,Uttara,29
Asholia (Fantasy Kingdom),Abdullahpur,16
Asholia (Fantasy Kingdom),Airport,22
Asholia (Fantasy Kingdom),Baipail,10
Asholia (Fantasy Kingdom),Bangabandhu Avenue,63
Asholia (Fantasy Kingdom),Dhaor,10
Asholia (Fantasy Kingdom),Jirab,10
Asholia (Fantasy Kingdom),Kakrail,62
Asholia (Fantasy Kingdom),Kuril Bishwaroad,33
Asholia (Fantasy Kingdom),Malibagh,56
Asholia (Fantasy Kingdom),Mouchak,56
Asholia (Fantasy Kingdom),Rampura,48
Asholia (Fantasy Kingdom),Sadarghat Victoria,69
Ati Bazar,Airport,45
Ati Bazar,Dhour,71
Ati Bazar,Farmgate,20
Ati Bazar,Kakoli,32
Ati Bazar,Mohammadpur,12
Ati Bazar,Uttara,56
Azampur,City College,42
Azampur,Dhakeshwari Etimkhana,50
Azampur,Farmgate,35
Azampur,Manik Mia,39
Azampur,Mohakhali,26
Azampur,Nilkhet,45
Azampur,Tongi,16
Azimpur,Abdullahpur,53
Azimpur,Abul Hotel,26
Azimpur,Agargaon,22
Azimpur,Airport,46
Azimpur,Asadgate,20
Azimpur,Asholia,70
Azimpur,Babu Bazar Bridge,52
Azimpur,Badda Link Road,29
Azimpur,Baipail,10
Azimpur,Banani,25
Azimpur,Bandura,99
Azimpur,Beribadh,103
Azimpur,Bishwaroad,15
Azimpur,Bochila,29
Azimpur,Bokshi Bazar,10
Azimpur,Bosila,20
Azimpur,Bosila Sinengi Stand,16
Azimpur,Chankharpul,10
Azimpur,Chidriyakhana,32
Azimpur,College Gate,16
Azimpur,Dhaka City College,10
Azimpur,Dhamrai,89
Azimpur,Dhanmondi-15,10
Azimpur,Dhaor Bridge,10
Azimpur,Dhopekhola,10
Azimpur,Dhour,70
Azimpur,Farmgate,36
Azimpur,Fulbaria,62
Azimpur,Gabtoli,38
Azimpur,Gausia/Chidanichak,10
Azimpur,Ghatachar,27
Azimpur,Gulistan,16
Azimpur,Gulshan-1,29
Azimpur,Gwashpur,22
Azimpur,ISBI Moor,38
Azimpur,Jigatola,10
Azimpur,Jirani Bazar,100
Azimpur,Kadamtoli,26
Azimpur,Kakoli,20
Azimpur,Kalabagan,10
Azimpur,Kallshi,39
Azimpur,Kamarpara,55
Azimpur,Kazipara,29
Azimpur,Keraniganj (New Jail),91
Azimpur,Khaiysyakhali Beribadh,102
Azimpur,Khamarbari,14
Azimpur,Komarganaj,90
Azimpur,Konaakhola,26
Azimpur,Kuril Bishwa Road,40
Azimpur,Kuril Bishwaroad,10
Azimpur,Kurmitola General Hospital,44
Azimpur,Madanganj,81
Azimpur,Malibagh,36
Azimpur,Manik Mia,17
Azimpur,Manik Mia Avenue,12
Azimpur,Manikdi (ISBI Moor),39
Azimpur,Manikmia Avenue,10
Azimpur,Middle Badda,22
Azimpur,Mirpur Majar Road,29
Azimpur,Mirpur-1,28
Azimpur,Mirpur-10,32
Azimpur,Mirpur-11,32
Azimpur,Mirpur-12,48
Azimpur,Mohakhali,22
Azimpur,Mohammadpur,10
Azimpur,Mohammadpur (Bosila Road),12
Azimpur,Mohammadpur Bus Stand,10
Azimpur,Mohammadpur Town Hall,23
Azimpur,Mouchak,33
Azimpur,Nabinagar,96
Azimpur,Nandan Park,128
Azimpur,Narayanganj Charahata,88
Azimpur,Naya Bazar,22
Azimpur,New Market,10
Azimpur,Nilkhet,10
Azimpur,Notun Bazar,35
Azimpur,Original Dash,25
Azimpur,Pagla Bazar,10
Azimpur,Palton,42
Azimpur,Postogola,10
Azimpur,Press Club,37
Azimpur,Rajmoni,40
Azimpur,Rasel Square,10
Azimpur,Ruhitpur,33
Azimpur,Russell Square,10
Azimpur,Sainboard,42
Azimpur,Savar,88
Azimpur,Sayedabad,17
Azimpur,Science Lab,16
Azimpur,Shahbag,36
Azimpur,Shahbagh,10
Azimpur,Shankor,10
Azimpur,Shewra Para,26
Azimpur,Shia Mosque,19
Azimpur,Shismela,18
Azimpur,Shonir Akhra,15
Azimpur,Shukkrabad,10
Azimpur,Shyamoli,14
Azimpur,Sobhanbag,10
Azimpur,Staffroad,16
Azimpur,Sukrabad,10
Azimpur,TV Centre,22
Azimpur,Technical,25
Azimpur,Tikkarpur,36
Azimpur,Town Hall,10
Azimpur,Udvash Crossing,14
Azimpur,Uttara,53
Azimpur (Dakeswari),Baniajuri,154
Azimpur (Dakeswari),Barangail,173
Azimpur (Dakeswari),Gabtoli,22
Azimpur (Dakeswari),Hanif Flyover,10
Azimpur (Dakeswari),Islampur,92
Azimpur (Dakeswari),Kachpur,43
Azimpur (Dakeswari),Kalabagan,10
Azimpur (Dakeswari),Kalampur,111
Azimpur (Dakeswari),Manikganj,131
Azimpur (Dakeswari),Nabinagar,81
Azimpur (Dakeswari),Palashi,10
Azimpur (Dakeswari),Paturia,213
Azimpur (Dakeswari),Savar,35
Azimpur (Dakeswari),Shyamoli,16
Azimpur (Dakeswari),Uthulli,185
Babu Bazar,Abdullahpur (Jilkhana),22
Babu Bazar,Airport,32
Babu Bazar,Badda,19
Babu Bazar,Bhawar Viti (South Keraniganj),29
Babu Bazar,Chunakutia Bazar,10
Babu Bazar,Diayabari,50
Babu Bazar,Gulistan (Fulbaria),10
Babu Bazar,Housing Building,32
Babu Bazar,Kadamtoli,10
Babu Bazar,Kakrail,10
Babu Bazar,Khilkhet,29
Babu Bazar,Kuril Bishwaroad,29
Babu Bazar,Malibagh,10
Babu Bazar,Mouchak (Flyover),10
Babu Bazar,Notun Bazar,20
Babu Bazar,Palton,10
Babu Bazar,Rajendrapur Bazar,20
Babu Bazar,Rampura,14
Babu Bazar Bridge,Abdullahpur,58
Babu Bazar Bridge,Abul Hotel,19
Babu Bazar Bridge,Airport,46
Babu Bazar Bridge,Asadgate,37
Babu Bazar Bridge,Azimpur,52
Babu Bazar Bridge,Baipail,60
Babu Bazar Bridge,Bandura,67
Babu Bazar Bridge,Beribadh,80
Babu Bazar Bridge,Bezgaon Choirasta,29
Babu Bazar Bridge,Bijoy Shoroni,21
Babu Bazar Bridge,Bishwaroad,25
Babu Bazar Bridge,Chankharpul,18
Babu Bazar Bridge,Chidriyakhana,45
Babu Bazar Bridge,Chiriyakhana,41
Babu Bazar Bridge,Chun Kutia,10
Babu Bazar Bridge,Dhaor Bridge,62
Babu Bazar Bridge,Farmgate,22
Babu Bazar Bridge,Fulbaria,14
Babu Bazar Bridge,Gabtoli,56
Babu Bazar Bridge,Golapshah Majar,10
Babu Bazar Bridge,Gulistan,10
Babu Bazar Bridge,Hemayetpur,69
Babu Bazar Bridge,Kadamtoli,10
Babu Bazar Bridge,Kakoli,26
Babu Bazar Bridge,Kamarpara,49
Babu Bazar Bridge,Keraniganj (New Jail),30
Babu Bazar Bridge,Keraniganj (Notun Jela Khana),10
Babu Bazar Bridge,Khaiysyakhali Beribadh,72
Babu Bazar Bridge,Komarganaj,62
Babu Bazar Bridge,Konaakhola,10
Babu Bazar Bridge,Kuril Bishwaroad,39
Babu Bazar Bridge,Malibagh,15
Babu Bazar Bridge,Maoyghat,74
Babu Bazar Bridge,Mawa Ferry Ghat,69
Babu Bazar Bridge,Middle Badda,26
Babu Bazar Bridge,Mirpur-1,44
Babu Bazar Bridge,Mirpur-10,39
Babu Bazar Bridge,Mirpur-12,44
Babu Bazar Bridge,Mohakhali,22
Babu Bazar Bridge,Mouchak,16
Babu Bazar Bridge,Nabinagar,105
Babu Bazar Bridge,Naya Bazar,10
Babu Bazar Bridge,Nilkhet,26
Babu Bazar Bridge,Notun Bazar,31
Babu Bazar Bridge,Palton,10
Babu Bazar Bridge,Press Club,10
Babu Bazar Bridge,Rajmoni,12
